rank_frequency,S,fk
12,44,0.009735740300640713
12,97,0.01118263631271179
12,81,0.011834912954359789
12,70,0.011190993423300979
12,41,0.009705552579001563
12,20,0.006178195634715209
12,43,0.009993919730568903
12,80,0.011336570316111204
12,95,0.013735095612814628
12,37,0.00897427843187475
12,18,0.0052318084374816535
12,101,0.011650676962622864
12,93,0.011809568981134845
12,75,0.010708781588298886
12,92,0.011439786804582226
12,74,0.011659781814253716
12,72,0.010558780714694406
12,52,0.010554111824856943
12,99,0.01035599151724298
12,100,0.01333889599105562
12,38,0.009212973363543302
12,62,0.010687590493255237
12,79,0.012219575089382139
12,39,0.009076438906460432
12,98,0.013806692144824476
12,65,0.011350673870024787
12,35,0.009493476313824476
12,67,0.010803986697279267
12,48,0.010240072959790758
12,78,0.011713440007192719
12,47,0.01060589039890621
12,53,0.010366793879274716
12,63,0.011394851341234788
12,27,0.007388082602530004
12,56,0.010377187288861032
12,25,0.007330426746320934
12,24,0.006553691350624348
12,13,0.003548403127105699
12,14,0.003941087204851022
12,46,0.010256801540447417
12,94,0.010558034935393507
12,59,0.010409265152494584
12,36,0.008690175554452503
12,60,0.01041692563005037
12,58,0.010318640295048186
12,42,0.009287159194697013
12,33,0.008646055996411682
12,28,0.007500820529091549
12,19,0.005587809756983438
12,32,0.008525959039591014
12,57,0.009935508260791289
12,76,0.012571600740046552
12,91,0.01244297193534363
12,31,0.00845660649969316
12,82,0.012670688800132432
12,71,0.011304776936290648
12,83,0.011415873974404387
12,22,0.006902903446695435
12,103,0.009761789817565215
12,49,0.009946234643634394
12,16,0.00453135209802111
12,17,0.005228823882907494
12,15,0.004081216865205231
12,68,0.011491193881661694
12,50,0.011248160433938288
12,11,0.00028680844764811063
12,12,0.0034161969308351718
12,89,0.011852304497810245
12,29,0.00729067768904425
12,73,0.010390153411433092
12,30,0.007171895459105408
12,104,0.01316547190882606
12,64,0.01160890238146822
