age,avg(AS)
50,32.642857142857146
41,25.307692307692307
57,17.1
56,36.2
53,21.0
37,21.2
19,43.4375
38,31.11764705882353
37,24.764705882352942
58,11.125
43,11.866666666666667
28,17.333333333333332
62,17.23076923076923
23,40.6875
68,12.0
55,21.352941176470587
49,24.666666666666668
25,43.94117647058823
44,28.88235294117647
58,33.92307692307692
47,15.705882352941176
46,26.41176470588235
28,28.8
58,13.333333333333334
26,34.0625
27,45.333333333333336
45,14.133333333333333
49,29.0
35,22.0
37,21.923076923076923
35,30.647058823529413
36,26.235294117647058
28,28.875
55,64.36363636363636
36,31.235294117647058
31,28.4
26,30.235294117647058
23,26.0
36,23.0
23,14.0625
45,11.235294117647058
28,27.545454545454547
29,51.1764705882353
48,8.0
53,33.470588235294116
37,25.0
43,16.166666666666668
18,21.8125
45,16.88235294117647
28,26.428571428571427
47,17.0
32,30.941176470588236
33,22.823529411764707
24,33.375
27,31.071428571428573
46,22.11764705882353
31,33.75
36,25.0
42,24.1875
46,25.88235294117647
25,41.25
50,48.411764705882355
47,13.5
22,31.235294117647058
44,18.0
53,34.888888888888886
21,19.333333333333332
45,20.9
47,9.727272727272727
29,35.2
35,28.41176470588235
25,16.0
40,36.0
50,15.0
61,14.0
48,22.88235294117647
50,20.0
55,20.533333333333335
54,15.125
34,21.529411764705884
37,26.153846153846153
38,32.1
61,15.1875
44,33.294117647058826
42,24.764705882352942
35,29.58823529411765
29,22.933333333333334
20,25.833333333333332
44,48.44444444444444
44,27.0
29,22.8
20,30.0
43,41.5
47,32.0
30,23.0
39,15.2
30,54.57142857142857
38,34.76470588235294
24,38.8125
42,14.3125
32,27.8
49,6.352941176470588
34,18.705882352941178
63,21.0625
45,25.3125
19,27.058823529411764
35,31.235294117647058
32,25.5
45,14.882352941176471
30,13.0
32,30.0
30,20.0
45,32.666666666666664
32,31.647058823529413
42,21.0
60,17.25
27,21.125
49,48.588235294117645
46,26.41176470588235
47,43.8235294117647
30,21.5
51,16.375
35,42.3125
25,34.470588235294116
35,40.35294117647059
22,32.23076923076923
26,38.35294117647059
43,14.25
32,21.454545454545453
21,28.333333333333332
46,22.529411764705884
29,34.46666666666667
33,38.666666666666664
35,21.4375
63,16.0
47,13.0
22,30.235294117647058
54,27.3125
27,7.0
48,14.529411764705882
39,20.0
57,11.0
48,19.294117647058822
27,44.0
32,18.9375
39,18.0
27,25.11764705882353
66,20.066666666666666
38,29.5
38,50.46153846153846
29,18.294117647058822
45,24.0
50,17.733333333333334
52,29.75
33,27.8125
28,31.9
25,35.333333333333336
28,18.0
19,25.941176470588236
49,52.0625
26,23.8
34,18.066666666666666
42,39.1764705882353
46,20.647058823529413
41,34.266666666666666
45,59.529411764705884
29,31.272727272727273
26,36.4
22,22.0
49,30.88888888888889
40,24.529411764705884
56,30.545454545454547
27,41.90909090909091
31,23.235294117647058
30,22.818181818181817
48,19.555555555555557
62,18.066666666666666
61,16.0
46,14.533333333333333
55,13.0
36,31.0
53,25.5
38,61.8125
32,52.35294117647059
45,24.625
27,49.25
56,21.294117647058822
45,27.9375
33,30.0
29,19.88235294117647
60,17.928571428571427
44,47.75
44,29.352941176470587
37,29.0
31,13.733333333333333
31,11.0
36,26.11764705882353
49,16.235294117647058
34,27.428571428571427
34,32.0
26,23.9375
19,29.666666666666668
31,19.125
24,23.6875
37,33.285714285714285
50,21.58823529411765
28,46.61538461538461
54,28.705882352941178
33,34.0
35,35.64705882352941
42,19.647058823529413
44,17.75
62,10.0
30,28.0
46,10.0
30,60.1
25,26.214285714285715
49,18.25
54,15.375
29,13.0
29,34.411764705882355
28,21.705882352941178
62,26.428571428571427
32,33.11764705882353
37,44.4375
36,43.23076923076923
47,36.888888888888886
34,35.9
32,19.22222222222222
29,26.4
69,9.571428571428571
32,24.5
23,25.705882352941178
32,6.285714285714286
44,16.0
33,24.5
53,26.266666666666666
51,21.176470588235293
38,17.41176470588235
27,19.1875
25,16.352941176470587
64,18.428571428571427
29,22.733333333333334
37,36.81818181818182
24,45.285714285714285
63,13.6
29,47.666666666666664
29,22.0
39,38.4
50,38.75
26,44.4
20,22.0
47,35.0
25,12.272727272727273
58,14.588235294117647
66,20.235294117647058
48,26.875
33,31.0
41,20.166666666666668
28,23.470588235294116
23,30.153846153846153
26,20.0
22,23.2
31,22.0625
34,19.764705882352942
34,16.0
29,28.5
63,31.5625
52,54.666666666666664
41,20.2
32,36.25
22,27.6875
42,22.0
61,34.411764705882355
31,27.6
26,25.533333333333335
61,32.0
25,18.0
53,38.76470588235294
51,26.125
21,29.545454545454547
39,11.444444444444445
21,36.88235294117647
40,21.333333333333332
30,32.0
27,19.0
38,29.294117647058822
44,30.0
51,20.352941176470587
48,10.384615384615385
43,21.235294117647058
36,46.0
29,29.705882352941178
35,30.8
63,19.0
26,28.75
44,46.46666666666667
26,20.176470588235293
48,27.666666666666668
26,25.923076923076923
32,39.733333333333334
29,39.8235294117647
43,32.0
33,23.22222222222222
25,36.23529411764706
21,52.588235294117645
28,32.857142857142854
33,28.0
30,38.18181818181818
67,13.0
41,12.823529411764707
47,39.2
40,25.764705882352942
41,24.0
51,24.6
26,27.0
28,18.294117647058822
29,20.0
35,22.529411764705884
23,30.6
30,52.4
28,28.25
27,33.3125
47,17.90909090909091
24,18.75
45,32.5625
29,45.23529411764706
38,30.0
27,35.54545454545455
24,7.352941176470588
41,21.941176470588236
51,27.333333333333332
44,55.64705882352941
38,29.8
51,9.294117647058824
52,19.77777777777778
68,36.42857142857143
30,22.75
32,32.3125
25,19.058823529411764
51,36.666666666666664
39,27.941176470588236
28,33.785714285714285
52,24.125
44,27.25
30,38.76470588235294
52,39.0
24,17.666666666666668
32,27.125
27,28.764705882352942
31,15.0
39,18.818181818181817
35,47.0
59,27.615384615384617
32,23.647058823529413
35,41.294117647058826
48,35.9375
46,13.066666666666666
38,35.69230769230769
26,39.05882352941177
20,24.647058823529413
48,35.875
28,30.25
38,22.5
30,28.176470588235293
24,26.705882352941178
50,24.733333333333334
30,23.857142857142858
64,14.294117647058824
27,30.833333333333332
37,32.0
25,35.5
47,34.4375
48,10.8
25,13.454545454545455
32,25.692307692307693
26,39.642857142857146
42,16.8125
38,31.647058823529413
32,29.625
24,33.0
54,19.0
53,25.41176470588235
34,28.933333333333334
35,42.470588235294116
30,29.5
33,38.0625
20,42.23529411764706
33,25.75
30,21.058823529411764
21,22.0
30,26.0
58,10.857142857142858
52,41.0
42,25.181818181818183
37,31.88888888888889
48,29.666666666666668
51,25.857142857142858
